,br,inserent_plz,title,inserent_location,clicks7d,label,lat,lng
54,42248274,45888,IT-Betreuer*in (w/m/d),Gelsenkirchen,51,0,51.51763219999999,7.1202394
55,38294300,10587,Bauteilverantwortliche:r - Entwicklungsingenieur:in - Steuergeräte-Hardware-Integration,Berlin,12,0,52.51708259999999,13.3236611
56,38913357,65185,Sachbearbeiter (m/w/d) IT-Projektcontrolling und Haushalt,Wiesbaden,50,0,50.0760976,8.240001699999999
57,37878449,24103,Projektleiter*in zum Bau von Mobilitätsstationen (d/m/w),Kiel,24,0,54.323924,10.1315442
58,40120183,95448,Ingenieur Maschinenbau - Offshore Netzbetrieb (m/w/d),Bayreuth,50,0,49.93635690000001,11.61009
59,40513757,79761,Medizinische Fachangestellte (m/w/d) für unseren Zentral-OP,Waldshut-Tiengen,15,0,47.6533265,8.2721269
60,40212383,73033,Vermessungstechniker (m/w/d),Göppingen,33,0,48.7098377,9.6531604
61,37878518,68161,Bilanzbuchhalter (m/w/d),Mannheim,36,0,49.4861656,8.470261599999999
62,38560897,63225,Technischer Redakteur (m/w/d),Langen,29,0,49.9886686,8.6628091
63,39812422,60596,Gesundheits- und Krankenpflegekraft / Altenpflegekraft - Therapiestation der Klinik für Nuklearmedizin,Frankfurt,16,0,50.0990675,8.6738622
64,39812185,50679,Arbeitsvorbereiter:in EMSR-Technik,Köln,24,0,50.934707,6.9759562
65,41658629,80686,Senior Java-Entwickler/Architekt - Q-Systeme (m/w/d),München,43,0,48.1288628,11.5089621
66,36873851,45133,Bauleiter (m/w/d) Elektrotechnik,Essen,26,0,51.4068406,6.9881259
67,39883504,60596,Medizinische Fachangestellte / Medizinischer Fachangestellter Gesundheits- und Krankenpflegekraft - Universitären Centrum für Tumorerkrankungen,Frankfurt,28,0,50.0990675,8.6738622
68,38073234,65428,"Projektingenieur (Fachrichtung Strahlenschutz, Messtechnik, o. ä.) im Bereich der nukleare Messtechnik (m/w/d)",Rüsselsheim,33,0,49.9901899,8.432798199999999
69,42846363,74189,Facharzt*ärztin für Psychiatrie und Psychotherapie oder Neurologie (w/m/d),Weinsberg,21,0,49.1582786,9.3014221
70,38724244,55131,Medizinische*r Fachangestellte*r (m/w/d),Mainz,18,0,49.9889241,8.2716688
71,39821345,60528,"Manager/in Konjunktur, Märkte und Statistik (w/m/d)",Frankfurt am Main,18,0,50.0734195,8.6361502
72,37878435,90478,DataCenter-Engineer (w/m/d),Nürnberg,51,0,49.4429032,11.1044714
73,39778426,60596,Verwaltungsangestellte / Verwaltungsangestellter mit dem Schwerpunkt Berufungsverfahren,Frankfurt,11,0,50.0990675,8.6738622
74,38940153,60486,Manager (m/w/d) Lieferkettensorgfaltspflichtgesetz (LkSG) und Nachhaltigkeit im Einkauf,Frankfurt,20,0,50.1130657,8.6252221
75,42548913,22305,Projektmanager mit datenanalytischem Fokus (m/w/d),Hamburg,36,0,53.58858379999999,10.0553745
76,36906658,76185,IT Consultant Retail Technologies (w/m/d),Karlsruhe,35,0,49.0072171,8.352578099999999
77,38105519,29614,Sachbearbeiter Category Management Elektro (m/w/d),Soltau,22,0,53.0057013,9.8309194
78,42663992,63263,Mitarbeiter im Bereich Elektrik/Elektronik (w/m/d),Neu-Isenburg,20,0,50.0521661,8.695244599999999
79,36131020,95448,Operations Engineer - Operational Readiness Phase (all genders),Bayreuth,27,0,49.93635690000001,11.61009
80,38560702,95448,Projekt Risikomanager Onshore (m/w/d),Bayreuth,22,0,49.93635690000001,11.61009
81,38450352,82024,Manager*in Innovation Hub (m/w/d),Taufkirchen,32,0,48.0389787,11.6265608
82,38006652,60486,Senior Vertriebsmanager (m/w/d) Fachvertrieb E-Mobilität,Frankfurt,23,0,50.1130657,8.6252221
83,38877728,72764,Sachbearbeiter (m/w/i) für die Steuerungsunterstützung im Sozialdezernat,Reutlingen,31,0,48.4933416,9.2147435
84,35735436,71034,R&D Engineer RF Engineer (m/f/d),Böblingen,43,0,48.6762593,8.9773145
85,40122233,71139,Ingenieur/Techniker Hochvoltsysteme Elektromobilität (m/w/d),Ehningen,26,0,48.6584785,8.9461595
86,40121961,33649,Entwicklungsingenieur (m/w/d) Innovation in der Baubranche,Bielefeld,31,0,51.97775499999999,8.4602772
87,36981384,73760,Ingenieur*in (m/w/d) - Versorgungstechnik Wärme und Energie,Ostfildern,29,0,48.7145823,9.2584908
88,38822214,80807,Kranmonteur:in / Kranelektriker:in (m/w/d),München,9,0,48.1865394,11.585399
89,36691618,68161,Leiter Rechnungswesen / Steuern  (m/w/d),Mannheim,22,0,49.4861656,8.470261599999999
